category,order_category_pairs,late_rate,on_time_rate,avg_delay_days,median_delay_days,delay_std_days
toys,3804,0.0638801261829653,0.9361198738170347,-12.08596214511041,-13.0,9.808565892331002
computers_accessories,6529,0.06386889263286874,0.9361311073671312,-12.378465308623067,-13.0,9.911478696972415
cine_photo,63,0.06349206349206349,0.9365079365079365,-10.65079365079365,-10.0,8.008380147430909
costruction_tools_tools,97,0.061855670103092786,0.9381443298969072,-12.175257731958762,-13.0,7.828913171270899
home_appliances_2,227,0.06167400881057269,0.9383259911894273,-12.33920704845815,-13.0,15.059892385421659
art,195,0.06153846153846154,0.9384615384615385,-12.876923076923077,-12.0,11.116312466590573
consoles_games,1018,0.060903732809430254,0.9390962671905697,-11.534381139489195,-12.0,10.689931149655893
home_construction,483,0.060041407867494824,0.9399585921325052,-11.48033126293996,-12.0,12.024574003806729
cool_stuff,3559,0.05900533857825232,0.9409946614217477,-12.421466704130374,-13.0,10.249608226020351
computers,177,0.05649717514124294,0.943502824858757,-11.581920903954803,-13.0,8.66453788402522
fashion_bags_accessories,1821,0.05601317957166392,0.943986820428336,-13.181219110378912,-13.0,9.786630196388606
fashio_female_clothing,36,0.05555555555555555,0.9444444444444444,-11.916666666666666,-11.0,8.125357135008196
small_appliances_home_oven_and_coffee,72,0.05555555555555555,0.9444444444444444,-11.51388888888889,-12.0,7.558211755781054
housewares,5743,0.053630506703813335,0.9463694932961867,-12.087410760926344,-12.0,9.862535847334264
costruction_tools_garden,190,0.05263157894736842,0.9473684210526315,-13.547368421052632,-13.0,8.923268935086872
music,38,0.05263157894736842,0.9473684210526315,-14.342105263157896,-14.0,11.268891203733984
drinks,287,0.05226480836236934,0.9477351916376306,-10.968641114982578,-11.0,9.659720596017715
pet_shop,1688,0.0509478672985782,0.9490521327014217,-12.35781990521327,-13.0,8.603630172788652
tablets_printing_image,79,0.05063291139240506,0.9493670886075949,-13.075949367088608,-14.0,9.26777177310863
small_appliances,609,0.047619047619047616,0.9523809523809523,-13.86535303776683,-14.0,9.406478638513144
fixed_telephony,212,0.04716981132075472,0.9528301886792453,-14.90566037735849,-14.0,10.7976022455811
fashion_male_clothing,106,0.04716981132075472,0.9528301886792453,-13.443396226415095,-14.5,8.659792352815993
fashion_shoes,235,0.04680851063829787,0.9531914893617022,-14.27659574468085,-14.0,9.707037995811008
kitchen_dining_laundry_garden_furniture,241,0.04564315352697095,0.9543568464730291,-12.29045643153527,-11.0,9.378092389933867
home_appliances,747,0.04417670682730924,0.9558232931726908,-12.607764390896921,-12.0,8.86328050114635
arts_and_craftmanship,23,0.043478260869565216,0.9565217391304348,-6.6521739130434785,-6.0,5.835694985893235
signaling_and_security,138,0.043478260869565216,0.9565217391304348,-11.68840579710145,-11.0,11.470559411222693
luggage_accessories,1019,0.04317958783120707,0.956820412168793,-12.592737978410206,-13.0,7.889585925240225
air_conditioning,246,0.04065040650406504,0.959349593495935,-13.934959349593496,-14.0,9.775220515200143
market_place,274,0.040145985401459854,0.9598540145985401,-13.956204379562044,-13.0,12.679404784413736
books_imported,50,0.04,0.96,-11.22,-11.0,5.970300645354333
agro_industry_and_commerce,177,0.03954802259887006,0.96045197740113,-11.259887005649718,-10.0,8.842062824203397
fashion_sport,26,0.038461538461538464,0.9615384615384616,-12.192307692307692,-14.0,6.203348971445865
food_drink,221,0.03619909502262444,0.9638009049773756,-11.407239819004525,-12.0,8.900293257755253
flowers,29,0.034482758620689655,0.9655172413793104,-11.827586206896552,-11.0,6.106606291066148
construction_tools_safety,159,0.025157232704402517,0.9748427672955975,-12.918238993710691,-13.0,9.1263761254414
fashion_childrens_clothes,7,0.0,1.0,-15.714285714285714,-18.0,7.674943772091226
cds_dvds_musicals,12,0.0,1.0,-15.833333333333334,-15.0,6.575897219575762
diapers_and_hygiene,25,0.0,1.0,-12.44,-9.0,9.11079945266422
la_cuisine,13,0.0,1.0,-16.384615384615383,-16.0,3.3050078552216666
security_and_services,2,0.0,1.0,-17.0,-17.0,5.656854249492381
party_supplies,38,0.0,1.0,-14.789473684210526,-14.0,7.739536597402457
pc_gamer,7,0.0,1.0,-10.714285714285714,-13.0,6.524678426668135
